               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.026056,            0.028189,            0.001368,             0.87534,              0.7588,             0.82212,             0.33318,            0.044702,            0.050387,            0.012291,            0.006601,            0.006601,            0.006601
                 105,             0.02586,            0.026769,            0.001487,             0.84588,             0.75879,             0.81174,             0.32862,            0.045503,            0.052493,            0.012072,            0.006568,            0.006568,            0.006568
                 106,            0.025139,            0.027538,           0.0014524,             0.85427,             0.74504,              0.8048,             0.32814,            0.045608,            0.051736,            0.011957,            0.006535,            0.006535,            0.006535
                 107,            0.025348,            0.027053,           0.0017688,             0.87541,             0.75176,             0.81433,             0.33459,            0.045576,            0.052677,            0.011769,            0.006502,            0.006502,            0.006502
                 108,            0.025519,            0.026889,           0.0014573,              0.8783,             0.76261,             0.81594,             0.32645,            0.045402,            0.051923,             0.01348,            0.006469,            0.006469,            0.006469
                 109,            0.024867,             0.02635,            0.001702,             0.86152,             0.76687,             0.80658,             0.32443,            0.045815,            0.051413,            0.012252,            0.006436,            0.006436,            0.006436
                 110,            0.024352,             0.02639,           0.0015031,             0.86014,             0.78155,             0.81644,             0.31766,            0.046156,            0.052774,             0.01144,            0.006403,            0.006403,            0.006403
                 111,            0.025532,            0.029109,            0.001387,             0.86379,             0.77193,              0.8067,             0.31212,            0.046072,            0.052321,            0.012728,             0.00637,             0.00637,             0.00637
                 112,            0.024963,             0.02709,           0.0015617,             0.88359,             0.74938,             0.81936,             0.32553,            0.045288,            0.051456,             0.01167,            0.006337,            0.006337,            0.006337
                 113,            0.024802,            0.025914,           0.0015054,              0.8401,             0.78434,             0.79658,             0.31879,            0.046153,            0.052413,            0.011736,            0.006304,            0.006304,            0.006304
                 114,            0.024046,            0.025859,           0.0016744,              0.8534,             0.78176,             0.79435,             0.32096,            0.046737,            0.051993,            0.010262,            0.006271,            0.006271,            0.006271
                 115,            0.024052,            0.025971,           0.0013087,             0.88655,             0.76721,             0.81024,             0.33285,            0.045359,            0.052539,            0.011364,            0.006238,            0.006238,            0.006238
                 116,            0.024204,            0.024792,           0.0015003,             0.82476,             0.76985,             0.78331,             0.32498,            0.046297,            0.052935,            0.011566,            0.006205,            0.006205,            0.006205
                 117,            0.024986,            0.026963,           0.0015621,             0.87248,              0.7576,             0.80977,             0.33532,            0.045177,            0.053041,             0.01008,            0.006172,            0.006172,            0.006172
                 118,            0.024936,            0.026154,           0.0016545,             0.79892,             0.77364,             0.78026,             0.31352,            0.047049,             0.05304,            0.011244,            0.006139,            0.006139,            0.006139
                 119,            0.024815,            0.026435,           0.0016473,             0.83083,             0.75318,             0.78458,             0.31899,            0.044474,            0.053801,            0.012365,            0.006106,            0.006106,            0.006106
                 120,             0.02475,            0.027805,           0.0016106,             0.85047,             0.74923,             0.80773,             0.32697,            0.043687,            0.053066,            0.012609,            0.006073,            0.006073,            0.006073
